event_id,date,name,distance,finishers,year,finishers_n
130422,28.02.-01.03.2026,Xiamen 24 Hour Race (CHN),24h,3,2026,3
130423,28.02.2026,Xiamen 12 Hour Race (CHN),12h,5,2026,5
130424,28.02.2026,Xiamen 6 Hour Race (CHN),6h,2,2026,2
130425,28.02.2026,Xiamen 100 Km Race (CHN),100km,1,2026,1
130426,28.02.2026,Xiamen 50 Km Race (CHN),50km,5,2026,5
124027,28.02.-01.03.2026,24h de Capitany - marche (FRA),24h,27,2026,27
124028,28.02.-01.03.2026,24h de Capitany - course (FRA),24h,81,2026,81
128084,28.02.2026,"50km Lahntallauf, Marburg (GER)",50km,59,2026,59
120455,28.02.2026,HaWei50 - 50 km Ultralauf rund um den Hardtsee (GER),50km,450,2026,450
124295,28.02.2026,Bad Salzufler Stadtforst Ultra (GER),48km,32,2026,32
130081,28.02.-01.03.2026,Modern Japanese Silk Road Journey Run (JPN),150km/2Etappen,116,2026,116
130259,28.02.2026,Modern Japanese Silk Road Journey Run - Stage 1 (JPN),78.2km,138,2026,138
121752,28.02.2026,Maasduinen Ultra (NED),50km,209,2026,209
129583,28.02.2026,Trail LoopHER - 12h (NZL),12h,15,2026,15
129584,28.02.2026,Trail LoopHER - 6h (NZL),5h,5,2026,5
129537,28.02.2026,SoCalUltraTrail at Tejon Ranch (USA),100km,41,2026,41
129538,28.02.2026,SoCalUltraTrail at Tejon Ranch (USA),50km,132,2026,132
129578,28.02.2026,Soil Mates Trail Race (USA),50km,10,2026,10
129555,28.02.2026,Skåne Frozen Trail - SFT 50 (SWE),50km,27,2026,27
129554,28.02.2026,Skåne Frozen Trail - SFT 60 (SWE),60km,19,2026,19
129607,28.02.2026,Taco Bell 50K Knoxville (USA),50km,162,2026,162
129628,28.02.-01.03.2026,Ultra Loucos Backyard do dia (BRA),33h,95,2026,95
128971,28.02.-01.03.2026,Full Moon Infinity (FRA),28h,127,2026,127
129032,28.02.2026,WABA 50 (GER),52km,16,2026,16
129540,28.02.-01.03.2026,Dark Horse 24/48 Hour Ultra Run (USA),24h,53,2026,53
129569,28.02.2026,Grandmaster Ultras 50 Km Run (USA),50km,32,2026,32
125754,28.02.2026,Monument Valley 50 Km Race (USA),50km,100,2026,100
129606,28.02.2026,Grit & Grace Trail Race (USA),12h,23,2026,23
129863,28.02.2026,Grandmaster Ultras 50 Mile Run (USA),50mi,15,2026,15
129616,28.02.2026,All Day at Holloway (USA),50km,26,2026,26
122712,28.02.2026,Saint Marys Lake Trail Series (USA),50km,30,2026,30
125923,28.02.2026,David's Trail Endurance Run (USA),50km,25,2026,25
122005,28.02.2026,Zimowy Ultramaraton Karkonoski (POL),47km,400,2026,400
122708,28.02.2026,Mount Cheaha 50K UltraMarathon Race (USA),50km,262,2026,262
125791,28.02.2026,Salmon Falls 50 km Race (USA),50km,228,2026,228
124618,28.02.2026,Gone Nuts 75 Km Ultra (AUS),75km,17,2026,17
123559,28.02.-01.03.2026,Ultra Baume (FRA),103km,162,2026,162
128366,28.02.2026,Frank Gruhn Ultramarathon (GER),47km,5,2026,5
125964,28.02.-01.03.2026,LOST 118 Mile Endurance Run (USA),118mi,5,2026,5
125965,28.02.-01.03.2026,LOST 118 Mile Endurance Run - Cart (USA),118mi,1,2026,1
126993,28.02.2026,Horse Thief Trail Run (USA),50km,8,2026,8
122646,28.02.2026,Copper Corridor 50km Race (USA),50km,103,2026,103
129582,28.02.2026,The Gambler Last Man Standing (USA),24h,31,2026,31
126802,28.02.2026,The Hunt Trail Race (USA),50km,24,2026,24
128204,28.02.2026,Will Rogers 24/12/6 Hour (USA),24h,18,2026,18
128206,28.02.2026,Will Rogers 24/12/6 Hour (USA),6h,1,2026,1
128208,28.02.2026,Will Rogers 24/12/6 Hour (USA),50km,10,2026,10
124616,28.02.2026,Gone Nuts 101 Km Ultra (AUS),101km,87,2026,87
124617,28.02.2026,Gone Nuts 50 Km Ultra (AUS),50km,149,2026,149
125043,28.02.2026,Chester Ultra 50 (GBR),50mi,523,2026,523
129631,28.02.2026,Wutu Ku Ultra Run (TPE),45km,7,2026,7
125746,28.02.-01.03.2026,Lake Vian 100mi Hilltop Run (USA),100mi,15,2026,15
125747,28.02.2026,Lake Vian 100km Hilltop Run (USA),100km,14,2026,14
125748,28.02.2026,Lake Vian 50mi Hilltop Run (USA),50mi,20,2026,20
125749,28.02.2026,Lake Vian 50km Hilltop Run (USA),50km,36,2026,36
